========================================
General Configuration:
	Wighting: EW_STORM
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
EW_STORM Configuration:
	weighting: EW_STORM
	c_ew_storm: 10.0
	k_ew_storm: 0.0001
	w_ew_storm: 0.001
	sigma_ew_storm: 0.1
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 1e-05
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.5969 0.0397 | 3.5857 0.0300 | 3.5607 0.0385 | Time: 82.9413 | VAL: 3.5245 0.0308 | 3.5649 0.0225 | 3.5192 0.0537 | Time: 2.8259 | TEST: 3.5134 0.0342 | 3.5880 0.0082 | 3.5248 0.0389 | Time: 3.4669
Epoch: 0001 | TRAIN: 3.5803 0.0355 | 3.5978 0.0240 | 3.5718 0.0445 | Time: 58.0240 | VAL: 3.5290 0.0344 | 3.5689 0.0225 | 3.5191 0.0537 | Time: 2.6708 | TEST: 3.5173 0.0325 | 3.5896 0.0000 | 3.5290 0.0444 | Time: 3.2987
Epoch: 0002 | TRAIN: 3.6006 0.0337 | 3.5906 0.0264 | 3.5674 0.0397 | Time: 59.6344 | VAL: 3.5257 0.0326 | 3.5702 0.0225 | 3.5217 0.0537 | Time: 2.7891 | TEST: 3.5158 0.0359 | 3.5927 0.0082 | 3.5294 0.0389 | Time: 3.6506
Epoch: 0003 | TRAIN: 3.5918 0.0355 | 3.5830 0.0300 | 3.5661 0.0385 | Time: 59.5151 | VAL: 3.5266 0.0344 | 3.5728 0.0337 | 3.5237 0.0470 | Time: 2.8677 | TEST: 3.5157 0.0359 | 3.5931 0.0082 | 3.5281 0.0389 | Time: 3.2458
Epoch: 0004 | TRAIN: 3.6036 0.0379 | 3.5961 0.0246 | 3.5622 0.0475 | Time: 60.4077 | VAL: 3.5283 0.0362 | 3.5674 0.0337 | 3.5211 0.0537 | Time: 2.8517 | TEST: 3.5167 0.0359 | 3.5910 0.0082 | 3.5271 0.0389 | Time: 3.1667
Epoch: 0005 | TRAIN: 3.6034 0.0349 | 3.5920 0.0222 | 3.5722 0.0409 | Time: 59.0862 | VAL: 3.5280 0.0344 | 3.5707 0.0337 | 3.5186 0.0537 | Time: 2.6630 | TEST: 3.5162 0.0376 | 3.5904 0.0082 | 3.5266 0.0389 | Time: 3.2985
Epoch: 0006 | TRAIN: 3.5883 0.0367 | 3.5963 0.0264 | 3.5549 0.0391 | Time: 58.5632 | VAL: 3.5279 0.0344 | 3.5692 0.0337 | 3.5227 0.0537 | Time: 2.8441 | TEST: 3.5175 0.0342 | 3.5927 0.0082 | 3.5287 0.0389 | Time: 3.3400
Epoch: 0007 | TRAIN: 3.6012 0.0385 | 3.5981 0.0300 | 3.5786 0.0397 | Time: 60.1456 | VAL: 3.5253 0.0362 | 3.5701 0.0225 | 3.5233 0.0470 | Time: 2.9526 | TEST: 3.5142 0.0359 | 3.5909 0.0000 | 3.5285 0.0389 | Time: 3.2593
Epoch: 0008 | TRAIN: 3.5887 0.0306 | 3.5927 0.0331 | 3.5730 0.0385 | Time: 59.0734 | VAL: 3.5271 0.0344 | 3.5677 0.0449 | 3.5236 0.0537 | Time: 2.7092 | TEST: 3.5160 0.0342 | 3.5925 0.0082 | 3.5321 0.0389 | Time: 3.0880
Epoch: 0009 | TRAIN: 3.6004 0.0331 | 3.5998 0.0222 | 3.5650 0.0427 | Time: 61.3810 | VAL: 3.5280 0.0308 | 3.5712 0.0337 | 3.5244 0.0470 | Time: 2.7485 | TEST: 3.5171 0.0342 | 3.5914 0.0082 | 3.5311 0.0389 | Time: 3.0573
Epoch: 0010 | TRAIN: 3.5941 0.0306 | 3.6005 0.0240 | 3.5750 0.0433 | Time: 59.3916 | VAL: 3.5258 0.0344 | 3.5701 0.0337 | 3.5205 0.0537 | Time: 2.8559 | TEST: 3.5148 0.0376 | 3.5905 0.0082 | 3.5286 0.0389 | Time: 3.4107
Epoch: 0011 | TRAIN: 3.6027 0.0300 | 3.5934 0.0252 | 3.5749 0.0409 | Time: 58.3048 | VAL: 3.5264 0.0380 | 3.5720 0.0225 | 3.5212 0.0537 | Time: 2.7973 | TEST: 3.5147 0.0393 | 3.5937 0.0000 | 3.5279 0.0389 | Time: 3.2615
Epoch: 0012 | TRAIN: 3.5956 0.0379 | 3.5951 0.0264 | 3.5680 0.0409 | Time: 58.9220 | VAL: 3.5266 0.0326 | 3.5685 0.0225 | 3.5206 0.0537 | Time: 2.9868 | TEST: 3.5161 0.0359 | 3.5914 0.0082 | 3.5291 0.0389 | Time: 3.2079
Epoch: 0013 | TRAIN: 3.5991 0.0337 | 3.6048 0.0252 | 3.5820 0.0391 | Time: 59.9400 | VAL: 3.5256 0.0344 | 3.5707 0.0337 | 3.5183 0.0537 | Time: 2.9015 | TEST: 3.5150 0.0376 | 3.5927 0.0082 | 3.5265 0.0389 | Time: 3.1303
Epoch: 0014 | TRAIN: 3.5856 0.0331 | 3.6111 0.0204 | 3.5646 0.0397 | Time: 59.5319 | VAL: 3.5271 0.0326 | 3.5712 0.0337 | 3.5227 0.0537 | Time: 2.9820 | TEST: 3.5175 0.0359 | 3.5944 0.0082 | 3.5275 0.0333 | Time: 3.0821
Epoch: 0015 | TRAIN: 3.5845 0.0288 | 3.5982 0.0270 | 3.5716 0.0409 | Time: 60.4010 | VAL: 3.5264 0.0326 | 3.5701 0.0225 | 3.5198 0.0537 | Time: 2.7565 | TEST: 3.5157 0.0325 | 3.5909 0.0082 | 3.5271 0.0444 | Time: 3.1470
Epoch: 0016 | TRAIN: 3.5864 0.0379 | 3.6083 0.0270 | 3.5526 0.0415 | Time: 60.5678 | VAL: 3.5268 0.0326 | 3.5694 0.0337 | 3.5211 0.0537 | Time: 2.7149 | TEST: 3.5150 0.0359 | 3.5904 0.0082 | 3.5296 0.0333 | Time: 3.6158
Epoch: 0017 | TRAIN: 3.5937 0.0403 | 3.6016 0.0288 | 3.5746 0.0361 | Time: 58.3018 | VAL: 3.5267 0.0326 | 3.5686 0.0337 | 3.5196 0.0470 | Time: 2.7789 | TEST: 3.5156 0.0325 | 3.5897 0.0000 | 3.5271 0.0389 | Time: 3.3401
Epoch: 0018 | TRAIN: 3.5817 0.0427 | 3.5981 0.0258 | 3.5754 0.0361 | Time: 58.9303 | VAL: 3.5269 0.0326 | 3.5717 0.0225 | 3.5248 0.0537 | Time: 2.7690 | TEST: 3.5161 0.0342 | 3.5911 0.0000 | 3.5317 0.0389 | Time: 3.1960
Epoch: 0019 | TRAIN: 3.5853 0.0391 | 3.6043 0.0276 | 3.5573 0.0385 | Time: 60.0755 | VAL: 3.5273 0.0380 | 3.5695 0.0225 | 3.5204 0.0537 | Time: 2.8119 | TEST: 3.5162 0.0376 | 3.5928 0.0082 | 3.5253 0.0333 | Time: 3.0546
Epoch: 0020 | TRAIN: 3.5921 0.0385 | 3.6112 0.0252 | 3.5568 0.0385 | Time: 61.4900 | VAL: 3.5257 0.0326 | 3.5716 0.0337 | 3.5233 0.0470 | Time: 3.0119 | TEST: 3.5156 0.0359 | 3.5942 0.0082 | 3.5294 0.0389 | Time: 3.2263
Epoch: 0021 | TRAIN: 3.5902 0.0361 | 3.6052 0.0282 | 3.5727 0.0409 | Time: 61.9080 | VAL: 3.5261 0.0326 | 3.5702 0.0337 | 3.5230 0.0537 | Time: 2.7514 | TEST: 3.5153 0.0359 | 3.5919 0.0082 | 3.5298 0.0389 | Time: 3.2646
Epoch: 0022 | TRAIN: 3.5919 0.0439 | 3.6009 0.0288 | 3.5817 0.0421 | Time: 60.8505 | VAL: 3.5260 0.0326 | 3.5697 0.0225 | 3.5219 0.0537 | Time: 2.5806 | TEST: 3.5151 0.0342 | 3.5907 0.0082 | 3.5293 0.0444 | Time: 3.5727
Epoch: 0023 | TRAIN: 3.5850 0.0379 | 3.5970 0.0252 | 3.5824 0.0331 | Time: 59.3738 | VAL: 3.5276 0.0308 | 3.5727 0.0225 | 3.5229 0.0537 | Time: 2.6104 | TEST: 3.5158 0.0359 | 3.5939 0.0000 | 3.5321 0.0389 | Time: 3.3150
Epoch: 0024 | TRAIN: 3.5957 0.0294 | 3.6001 0.0240 | 3.5741 0.0421 | Time: 58.1908 | VAL: 3.5259 0.0380 | 3.5698 0.0337 | 3.5198 0.0537 | Time: 3.2153 | TEST: 3.5158 0.0393 | 3.5940 0.0082 | 3.5268 0.0444 | Time: 3.5270
Epoch: 0025 | TRAIN: 3.6184 0.0319 | 3.5916 0.0270 | 3.5813 0.0391 | Time: 58.1276 | VAL: 3.5290 0.0344 | 3.5709 0.0337 | 3.5234 0.0537 | Time: 2.9643 | TEST: 3.5175 0.0359 | 3.5929 0.0082 | 3.5299 0.0389 | Time: 3.4171
Epoch: 0026 | TRAIN: 3.5883 0.0331 | 3.6084 0.0222 | 3.5717 0.0439 | Time: 58.4000 | VAL: 3.5268 0.0290 | 3.5657 0.0337 | 3.5191 0.0537 | Time: 2.7506 | TEST: 3.5147 0.0376 | 3.5903 0.0082 | 3.5265 0.0389 | Time: 2.9777
Epoch: 0027 | TRAIN: 3.5892 0.0379 | 3.5953 0.0264 | 3.5647 0.0391 | Time: 61.1558 | VAL: 3.5261 0.0326 | 3.5685 0.0225 | 3.5197 0.0604 | Time: 2.8474 | TEST: 3.5156 0.0376 | 3.5931 0.0082 | 3.5282 0.0389 | Time: 3.0950
Epoch: 0028 | TRAIN: 3.6010 0.0367 | 3.5976 0.0306 | 3.5735 0.0529 | Time: 60.5230 | VAL: 3.5268 0.0362 | 3.5691 0.0449 | 3.5190 0.0537 | Time: 2.6118 | TEST: 3.5167 0.0342 | 3.5921 0.0082 | 3.5273 0.0389 | Time: 3.2758
